Text,Sentiment
gente julgando so pq dilma vai ganhar n existe ninguem melhor sorry,Positive
povo unido jamais sera vencido dilma vemprarua ogiganteacordou protestos ai maioria vai vota dilma,Positive
sao paulo aecio votos validos dilma precisa dizer alguma coisa,Positive
mano tambem queria qualquer melhor q estopo dilma,Positive
preocupada pois diferenca dilma aecio pequena marina louca apoiar aecio,Positive
imagina catra presidente semana vamos combinar melhor dilma aecio,Positive
sobre votou dilma errar humano persistir erro burrice persistir burrice pedir pra ser vice,Positive
calma medicoscomdilma agora hora muita luta fe reeleicao dilma,Positive
pq dilma ganhando lavada povo pt sao todos corruptos,Positive
bahia pouco familias sao beneficiadas bolsa familia dilma votos massa,Positive
dilma predomina ne aecio maior colegio eleitoral sp sera melhor,Positive
aecio melhor dilma vlw,Positive
lindo aecio votos dilma dilma acho casa caiu pra vc finalmente protestos apareceram urnas,Positive
lo impresionante amigo es el crecimiento neves fue costa silva y dilma,Positive
ai dilma ganha daqui uns meses vem p rua pt pra mim voces sao bando hipocritas sim,Positive
gostaria ter certeza coisa nao tao facil assim dilma ainda controla poder vai usar,Positive
nao duvida marina todos psb irao apoiar aecio sabe pq estao cientes rejeicao dilma aecio pganhar cargos,Positive
segundo turno decidido vai ser aecio dilma,Positive
dilma frente siga tempo real apuracao globomihrjy g,Positive
programas estudo sao custeados altos impostos gente paga vc acham q dilma faz pq querida acorda,Positive
mandando presidenta dilma presentinho acho vai adorar,Positive
ah vi estado governou maioria votou dilma significa q n deve ter sido mto bom,Positive
el tribunal supremo electoral divulgo primeros resultados dilma rousseff y aecio neves iran segunda vuelta,Positive
dilma ja chance provou q n capaz nada tdo mao nao fez nada int pq votar dilma vote consciente,Positive
nao digo aliar subir palanque acho plausivel psol dialogue dilma sentido forca bandeiras,Positive
dilma melhor aecio aecio melhor dilma boa irmao anos governaria melhor brasil,Positive
marina apoiar dilma vai ta cara plano deste inicio,Positive
gnt ta votando dilma sao pts,Positive
ta claro q pais n quer dilma vamos juntos conquistar voto voto euvoteiaecio,Positive
ta faltando so pedro bial dizer marina vem apoiar dilma aqui vem apenas votos voce eliminada,Positive
alckmin governador serra senador dilma aecio presidente so digo coisa fudeu fudeu bonito,Positive
mermao entendam dilma nao sao pessoas manifestacoes,Positive
dilma surrada sao paulo turno turno sera praticamente estuprada tamanha sera diferenca votos,Positive
dilma ganhar vou sair rua xingar povo tudim k,Positive
dilma aguarda adversario assim globo so falta ser apurado william nao sabe fazer conta,Positive
pronto decidido dilma x aecio segundo turno,Positive
segundo turno votarei dilma pq aecio bom ganhado minas onde segundo melhor governador ja la,Positive
n acho dilma tao merda assim fez poucas melhorias sim gatante voces outro presidente melhor,Positive
nao questao querer tudo perfeito pode ficar melhor dilma nao fez praticamente nada novo,Positive
brasil hmin apurado dilma aecio marina vamos pro pau,Positive
caro amigo migrou dilma pra luciana genro ja pode voltar,Positive
cuidado voce pode ser xingada eleitores dilma marina aecio professor sei la quantas afins,Positive
dilma vai ganhar causa bolsa familia aecio ganhar so vai favorecer realmente rico acorda mores,Positive
sao paulo dilma tomou lavada aecio contra dilma marina quase marina passa dilma,Positive
glr devia querer emprego n dinheiro facil dilma,Positive
enquanto dilma aecio ai nada vai mudar nao to dizendo q q ser marina q ser alguem melhor,Positive
marina apoiar aecio ja dilma turno,Positive
aecio neves votos sao paulo dilma rousseff aparece vantagem grande,Positive
nao pra mim compactuar aecio menos dilma entao,Positive
sobre dilma aecio prefiro pegar brigadeiro panela comer pq vida ta facil pra ninguem hoje alem ser domingo,Positive
melhor dilma marina aecio menos brasil nao vai ficar bosta,Positive
gente nao condicao serio ta cego pra achar governo brasil ta maravilhoso dilma,Positive
apuracao tempo real sp dilma lugar urnas apuradas placareleicoesuolbrturnosp apuracao estado eleicoes,Positive
digitando urna facil aparecer dilma falando serio agora vezes foto apareceu enviado numero,Positive
lula x melhor sim comecou tudo dilma ta continuando fez,Positive
verei todo dias horario eleitoral so pra rir desespero pt viver pais dilma vive bem legal,Positive
aecio sao paulo dilma marina,Positive
aecio nao melhor decisao aecio dilma vamos psdb,Positive
voces reclamam sao chamados burros porrraaa dilma cu rola foradilma forapt,Positive
sobre votou dilma errar humano persistir erro burrice,Positive
eleitores marina apoiar aecio segundo turno n dilma ganha ddddd,Positive
real todo mundo ta mimimi dilma nao fez nada pais,Positive
queria dilma marina pq marina poderia estruturar melhor prog disputar bem dilma saudavel aecio morrrta,Positive
falar aecio dando chocolate dilma sao paulo,Positive
seguinte moro sp dilma eleita jeito mudar pro nordeste pq aq nao ta facil la so sombra agua fresca,Positive
internautas declaram apoio dilma marina sao citadas twitter ig sao paulousuarios rede socia,Positive
vei dilma ainda ta frente pq ces vaiaram copa hr mostrar manda nessa budega pais ces sao trouxas,Positive
melhor dilma aecio ts,Positive
pessoas q votaram dilma hj sao mesmas q mandaram tomar cu vaiaram copa hipocritas,Positive
cara ia ser lindo dilma caisse digito ficasse casa aecio ne eleicoes,Positive
sla todos candidatos dilma ainda melhor coisas ruins,Positive
carne fraca mente forte pra aturar babacas votam dilma maomeprapresidente,Positive
ate ze maria melhor dilma,Positive
vaiaram dilma estadios sao podiam pagar ingressos,Positive
nordestinos burros reelegendo dilma sao paulo alckmin amigo ein,Positive
ja imaginava amigo votaste dilma ne todo mundo ganha bolsa familia vota,Positive
dai vai ser marina x luciana melhor dilma x aecio,Positive
olha diferenca aecio p dilma sao paulo,Positive
nao votaria dilma aparecesse candidato melhor convencesse nenhum convenceu nao anulo voto,Positive
toda una semana telesur diciendo dilma podia evitar la segunda vuelta porque estaba sobrada quedo bien lejos del cincuenta ciento,Positive
chorando rir acha aecio melhor dilma tao nivel galera,Positive
aplicativo tre posta apurado dilma,Positive
vcs falam tanto pontuacao dilma nordeste aecio incriveis sao paulo,Positive
brasileiro jumento vai pra rua taca fogo onibus faz tudo brasil melhor roubo votam dilma novo,Positive
acho ta bom reeleger dilma,Positive
mano aecio dilma sao uns merda pra presidencia,Positive
parcial dilma rousseff lidera aecio neves marina silva acompanhe apuracao vivo oestarxrdir,Positive
aecio ta perdendo pra dilma estado governador bom cara nao pode ser,Positive
sp aecio dilma nordestinos sao meio mongoloides msm agr aceito,Positive
pausa dilma haciendo un gobiernazo la tiene tan facil entienden esperamos al la gente ta clara lo si y lo,Positive
dilma tarso genro votam porto alegre presidenta dilma rousseff candidata reeleicao pt votou ivenbzepk,Positive
melhor ser dilma aecio pfvr ne,Positive
ai otimo dilma aecio pro turno uhu mrda dilma dnv,Positive
brasileiros votaram dilma sao todos vergonhas amam serem fodidos so brasilumpaisdetolos,Positive
vota dilma causa bolsa familia ahhhhh vai lascar trabalhar bom nada ne,Positive
quero ver todo mundo governo aecio sentindo orgulhoso terem tirado dilma quero so ver protesto reivindicacao etc,Positive
nsei ainda nao queria dilma pq acho brasil precisa mudanca gestao aecio tbm n melhor opcao ne,Positive
dilma nao ganhando segundo turno pra mim ta otimo,Positive
apurados sp aecio dilma marina tucanos paulistas nao estao dando apoio aecio sao bairristas agora,Positive
acho mt engracado povo globo news mostram contra dilma mt bom,Positive
voto segundo turno pra dilma venha outubroooo sentindo animado,Positive
queria so ver mulher ganhasse pais estaria tao merda quanto governado dilma aecio acordem otarios,Positive
aecio plano economico otimo enquanto dilma guido mantega ministro fazenda,Positive
pode ser quase nada dilma fez algo pobres vcs sao ricos otimo pra vcs realidade muitos outra,Positive
pt lixo dilma mae chuck nda certo,Positive
achei programa medicos dilma otimo pessoas beneficiadas todas elogiaram bastante,Positive
entao brasil nao dilma tudo tao maravilhoso segundo pt,Positive
melhor dilma menos,Positive
melhor dilma,Positive
temer dilma nao perderia eleicao gente quisesse brasil brasilyeuot via,Positive
gente nao gosto dilma ces acham aecio faz melhor,Positive
disse manifestacoes contra dilma perdoa expressao palavra voces sao retardados,Positive
to ai nao dilma algum religioso ja bom comeco,Positive
nao fa psdb acho tao corrupto quanto pt ser sincero melhor anos dilma,Positive
governo dilma certo regiao norderte,Positive
sao tudo farinha saco sim dilma mudou brasil tambem,Positive
dilma reeleita povo sao paulo nao tera direito reclamar pois colocar cidadao nao,Positive
vcs sao todos retardados q votam dilma ansia vomito,Positive
acho lindo vota dilma so bolsa familia vontade sair pra trabalhar ceis nao ne,Positive
dilma mulher nao capaz responder perguntas debate capaz gorvernar pais,Positive
sabe votos dilma sim sei entao sao pessoas bolsa familia,Positive
confirmando indices agora sartori deve ganhar meio tranquilo segundo turno dilma tera disputa bem complicada,Positive
melhor voces quetar ppk ai dilma nao faz nada presta provavelmente vai ganhar novo culpa todos vcs,Positive
dilma aecio melhor orar futuro brasil,Positive
olha nao gosto nenhum candidatos presidencia so pensar dilma pode cair ja anima ai opaaa,Positive
boa prefiro dilma aecio cara so vai governar pra rico,Positive
ultima coisa falarei vcs reclamam dilma sao mesmos postam foto espelho mostrando iphone vcs n precisam ajuda,Positive
votou dilma merece fuder bonito,Positive
pessoa grita psol diz nao fervorosamente vale ressaltar dilma vota lindbergh ta certo ta certo,Positive
ta hora marina reconhecer derrota confessar tudo armacao lula sempre pt vai apoiar dilma ralatucanada,Positive
engracado todo mundo fala mal dilma blablabla vai ver resultao plou ta liderando,Positive
sim vei ta aecio nao nenhum santo dilma porra,Positive
obrigado todos vcs votaram dilma agora sao quatro anos sofrimento traduzindo vcs sao igual,Positive
prefeitos minas colegio q dependem financeiramente governador pimentel tenderao apoiar dilma nao aecio,Positive
doce ironia mg aecio sai la aprovacao menos apoio dilma,Positive
parabens excelente pra sp pro brasil agora pra cima dilma turno,Positive
apuracao tempo real dilma lugar urnas apuradas placareleicoesuolbrturnosp eleicoes,Positive
dilma melhor aecio nao chance pra,Positive
aecio tao bosta quanto dilma ainda melhor anos pt poder,Positive
dilma vai cair fia,Positive
dilma ganhar vai ser bom ja aecio ganhar fazer n contente brasil livre pra sair hora quiser,Positive
dilma eh melhor opcao,Positive
aecio tambem realmente bom dilma estar ganhando minas gerais mostra quao bom governador,Positive
aecio nao melhor dilma vagabundos eleito vai acabar brasil prestem atencao,Positive
engracado babam ovo vivem falando aecio mudou mg aecio fez porem ta perdendo pra dilma la dentro rs,Positive
nego protestou p caralho deu revolucionario black block crl agora vejo dilma pezao frente disputa puta pariu,Positive
possivel reeleicao dilma bh fica quatro anos duas linhas metro sao prometidas desde nadava esperma,Positive
insisto es una buena noticia el dolar oficial en argentina una primera vuelta muy buena dilma aseguraba un real x dolar,Positive
aecio menos melhor q dilma,Positive
q admira sapatao q nema dilma nao ter posicao relevante relacao lgbts,Positive
tb acho dilma tb ganhou la aecio ainda governava expressivo sim ate pq mg segundo colegio,Positive
segundo turno vai ser aecio dilma puta merda vcs sao burros,Positive
dilma cara afk ranked aecio kill pro time inimigo assim nasce fica repetindo,Positive
pimentel pt eleito governador minas gerais lado positivo dilma nao tera palanque p turno mg,Positive
dilmapravencer euvoteimarina dilma aecio apurado presidanta aecio marina lula fidel,Positive
boca urna presidente dilma aecio marina acompanhe vivo,Positive
alguem mora sao paulo recebeu algum desses panfletos dilma sendo distribuido correio,Positive
assim dilma ganhar voces sao acefalos,Positive
dilma crlh nao aceito sifuder,Positive
pra voce ver quao merda sao outros candidatos to longe achar dilma ideal brasil dentre,Positive
parem saiu ruas votou dilma pessoas insatisfeitas eleitores dilma sao grupos distintos,Positive
acho marina apoia dilma segundo turno ver formas governo sao parecidas,Positive
voces sao cinicos explicar perdeu base dilma pt perde rs df bases nada cobram,Positive
ja confirma turno dilma aecio neves numeros sao dilma aecio eleicoesal eleicoes,Positive
quero agora ver briga dilma aecio pra conquistar apoio marina,Positive
rio fechou dilma legal eleicoes,Positive
vou morar pra argentina aecio ganhar la deve ser melhor msm pq nao dilma presidente,Positive
acho turma blackbloc vemprarua nao sao msm votaram hoje dilma aecio lideranca fingiram bem esqueceram,Positive
segundo turno dilma x aecio dis candidatos preparados melhor primeiro turno ver flop marina,Positive
mim lula razoavel pra bom melhor fhc dilma lastima pior dois,Positive
apuracao tempo real dilma lugar urnas apuradas placareleicoesuolbrturnoba eleicoes,Positive
joao paulo armando monteiro sao lado dilma levou lavagem levaram surra ai nao entendo,Positive
pensem lado bom antes dilma fidelix ne,Positive
nao sinto culpada ter ido protestos ano passado hoje apoiar certa forma reeleicao dilma melhor aecio marina,Positive
voces sao riquinhos iphone comida mesa todo mes claro nao sabem quanto dilma ajudou pais verdade,Positive
geraldo alckmin reeleito governador sao paulo ja ta decidido dilma vai pro segundo turno contra aecio neves aeciodevirada,Positive
unica coisa n queria alckmin governador dilma aceito,Positive
toma porra to revoltada pais retardado q vota dilma meoooo,Positive
dilma pegou pais ja estabilizado sistema pt anos ja pt facil assim nao,Positive
dilma aecio segundo turno voces sao otarios,Positive
dilma jair pedro protesto ja nao ninguem joao paulo rene patriota edilson silva,Positive
rt so dica dilma cair servidor cai tambem viu concurso so kakakak,Positive
tbm n leq aecio ganhar acabou pais esperanca porra toda dilma fdp melhor deixar dilma,Positive
perdi dia pastel caldo cana pra ver dilma ganhando porra,Positive
queda livre x ascensao segundo turno dilma aecio nao dilma marina pesquisas sao furadas,Positive
engracado povo vota dilma reclama certas situacoes passam,Positive
rj marina bem perto dilma votos apoiar vai ser bem vindo,Positive
ta decidido dilma porra otaria vaca odeio pega aecio segundo turno,Positive
fijate lo decia el diario clarin argentino amigo oglobo brasilero brasildecide dilma silva,Positive
dilma aecio ta tudo otimo imagina marina meio deus q livre,Positive
negocio pt tudo birrinha sabe dilma melhor fica nessa so p ser contra,Positive
aecio ganhar pq qualquer coisa vai ser melhor dilma,Positive
matem anotem dilma vai ganhar agora daqui anos lula ganha tbm dps anos reelege anos puro pt hmm delicia,Positive
tao bom minas peso votou dilma,Positive
aecio forte esperado neste cenario provavel dilma perca turno,Positive
dilma aecio lembre melhor diabo voce conhece povo ta achando nao pode piorar,Positive
agora q venca aecio q dilma quatro anos nao vai dar certo,Positive
euvoteimarina infelizmente dilma vence facil turno,Positive
vcs falam tanto aecio professores dilma faz algo p valorizar servidores publicos,Positive
todas manifestacoes ainda votam dilma iluminem ser humano desse,Positive
moral voces sao burros p caralho burros votou dilma,Positive
votei aecio to feliz pra crl serio so pena saber q ainda gente q vota dilma nao conformo,Positive
cris petista distorce favor pt humano quero dizer parte natureza humana louca lula dilma,Positive
melhor coisa aecio turno marina dilma preferiria morte lenta,Positive
quero saber ta feliz vitoria dilma,Positive
brasil pais onde pessoas fodem nao aprendem legal elegerem dilma novo parabens pra voces viu,Positive
dilma votos sao paulo vai ver porque governo excelente ne,Positive
boca urna ibope mostra turno sera dilma aecio msnpt brbbhn i aecio neves dilma vai ver bom,Positive
pessoas q pra rua votam dilma tao coerente quanto homossexuais q desejam ter familia legal igualdade votam marina,Positive
pra vcs nao gostam dilma pensem bem antes pedir pais governado aecioporto po,Positive
odiar dilma aercio coisa odiar nordestinos outra,Positive
mano vcs parassem ser falsos fazessem q falam lucianinha vcs tava turno c dilma massss ne acho bom,Positive
burrada achar aecio vai ser melhor dilma,Positive
admiro fhc pra caralho embora achado mandato merda ja aecio desprezo dilma nao excelente,Positive
segundo turno decidido dilma aecio,Positive
merval disse votacao marina sao paulo nao ira dilma,Positive
gente tela dizendo aecio melhor dilma rico come lixo,Positive
legal q hora pra outra todo mundo viro super consciente anti dilma entendedores politica,Positive
dilma aecio devem disputar segundo turno presidencia momento verdadeiro momentoverdadeirodilma aecio devem disputar segundo turno presidenciahtml via,Positive
sao paulo diz nao pt rumo segundo turno dilma x aecio,Positive
resultado surpreendente osasco tradicional reduto petista dilma rousseff pt ocupa apenas terceira,Positive
nao gosto dilma caralho voces sao hipocritas,Positive
sao paulo pt aecio neves cola dilma ai brasil mostra forca bota estrela vermelha pra correr,Positive
segundo turnoooooooo ja decidido dilma aecio,Positive
aecio merecia povo brasileiro nao percebeu dilma vai afundar brasil,Positive
vejo tanto gente tl pras ruas protestar ta nessa dilma melhor amorrr,Positive
quero brasil foda agora dilma vai terminar afundar pais parabens pra votou nela,Positive
dilma competente candidatos,Positive
maaaan,Positive
brasil ta fundo poco sim dilma continuar topo brasil so vai afundar,Positive
agora cada defina melhor tatica aecio todos contra dilma comecando agoran to nessa,Positive
sim porque nada virou defensor dilma auhauhauhauhuaha,Positive
dilma capaz vir pra sc pedir voto trouxa ainda votam nela,Positive
amiga pra vc ve nao tao errada assim aecio tao competente proprio estado votou dilma,Positive
estao surpresos dilma estar ganhando minas saibam belo horizonte,Positive
incrivel gente defendendo dona dilma,Positive
trabalhador brasileiro gosta sofrer so pode povo reclama todo dia inferno pais ai pessoa vai la vota dilma pqp,Positive
sei la dilma mandou bilhoes reais pro porto cuba nao afeta leitura chorume comunismo eh bom ne fera,Positive
sao paulo dilma rousseff marina silva empate tecnico,Positive
reclama dilma vota aecio sabe nada inocente,Positive
vem falar quer brasil melhor melhor votando dilma,Positive
aii criatura passa quatro anos reclamanfo dilma ai vai vota nela criatua erra humano percisti erro burrice,Positive
melhor dilma marina aecio menos brasil nao vai ficar bosta ja ta,Positive
criatura vota dilma quer brasil melhor vai entender,Positive
marina tira votos aecio dilma bem capaz ate obvio votos voltem pro aecio,Positive
decidido dilma vs aecio,Positive
torco resultado segundo turno tire pt melhor dilma jogada ficareiagradecida,Positive
so sei coisa dilma aqui sao paulo nao aqui nao,Positive
nao nada contra aecio votei nele pro governo mg pro senado so acho dilma melhor marina hein rs,Positive
hipocrisia nao votasse dilma trabalho poder publico estadual tudo gracas bom emprego,Positive
atualizado dilma aecio marina corinthians sao paulo,Positive
espero todos vcs votaram dilma reconhecam erro filhos vcs precisarem esperar atendimento digno ama,Positive
melhor aecio ne so queria entender tudo voto dilma tendo tanto protesto contra xingando estadios,Positive
nao gosta dilma facil entao cara pega ignora hora comprar coisa ignora beneficios fiscais,Positive
sim duvido dilma ganhe nao votaria aecio atual circunstancia melhor tentar mudar aguentar,Positive
ver cara pau apoiar dilma cansou falar mal velha politica etc,Positive
gracas dilma q fez campanha pra heloisa helena mt superior,Positive
ta decidido aecio x dilma,Positive
aecio melhor dilma amiga vc lembra governou minas gerais nao ne ata,Positive
coitado olivio ate votado nele nao mimimi tarso dilma coitado ia pra la so arrasto,Positive
nao acredito manipular votos familia toda dilma fica rj,Positive
calma acho dilma vai ganhar,Positive
nesse exato momento calafrio humano sobe espinha dilma toda corja pt,Positive
sao paulo dilma praticamente empatada marina quase ficou terceiro lugar forapt eleicoes,Positive
fogos todos nao sao pra dilma nao ne espero,Positive
otarios q vaiaram dilma copa sao q votaram nela falo nada,Positive
engracado todo mundo fala mal dilma blablabla vai ver resultao plou ta liderando,Positive
cheguei hoje dando bom dia logo nao vote dilma,Positive
gente julgando so pq dilma vai ganhar n existe ninguem melhor sorry,Positive
povo unido jamais sera vencido dilma vemprarua ogiganteacordou protestos ai maioria vai vota dilma,Positive
sao paulo aecio votos validos dilma precisa dizer alguma coisa,Positive
mano tambem queria qualquer melhor q estopo dilma,Positive
preocupada pois diferenca dilma aecio pequena marina louca apoiar aecio,Positive
imagina catra presidente semana vamos combinar melhor dilma aecio,Positive
sobre votou dilma errar humano persistir erro burrice persistir burrice pedir pra ser vice,Positive
calma medicoscomdilma agora hora muita luta fe reeleicao dilma,Positive
pq dilma ganhando lavada povo pt sao todos corruptos,Positive
bahia pouco familias sao beneficiadas bolsa familia dilma votos massa,Positive
dilma predomina ne aecio maior colegio eleitoral sp sera melhor,Positive
aecio melhor dilma vlw,Positive
lindo aecio votos dilma dilma acho casa caiu pra vc finalmente protestos apareceram urnas,Positive
lo impresionante amigo es el crecimiento neves fue costa silva y dilma,Positive
ai dilma ganha daqui uns meses vem p rua pt pra mim voces sao bando hipocritas sim,Positive
gostaria ter certeza coisa nao tao facil assim dilma ainda controla poder vai usar,Positive
nao duvida marina todos psb irao apoiar aecio sabe pq estao cientes rejeicao dilma aecio pganhar cargos,Positive
segundo turno decidido vai ser aecio dilma,Positive
dilma frente siga tempo real apuracao globomihrjy g,Positive
programas estudo sao custeados altos impostos gente paga vc acham q dilma faz pq querida acorda,Positive
mandando presidenta dilma presentinho acho vai adorar,Positive
ah vi estado governou maioria votou dilma significa q n deve ter sido mto bom,Positive
el tribunal supremo electoral divulgo primeros resultados dilma rousseff y aecio neves iran segunda vuelta,Positive
dilma ja chance provou q n capaz nada tdo mao nao fez nada int pq votar dilma vote consciente,Positive
nao digo aliar subir palanque acho plausivel psol dialogue dilma sentido forca bandeiras,Positive
dilma melhor aecio aecio melhor dilma boa irmao anos governaria melhor brasil,Positive
marina apoiar dilma vai ta cara plano deste inicio,Positive
gnt ta votando dilma sao pts,Positive
ta claro q pais n quer dilma vamos juntos conquistar voto voto euvoteiaecio,Positive
ta faltando so pedro bial dizer marina vem apoiar dilma aqui vem apenas votos voce eliminada,Positive
alckmin governador serra senador dilma aecio presidente so digo coisa fudeu fudeu bonito,Positive
mermao entendam dilma nao sao pessoas manifestacoes,Positive
dilma surrada sao paulo turno turno sera praticamente estuprada tamanha sera diferenca votos,Positive
dilma ganhar vou sair rua xingar povo tudim k,Positive
dilma aguarda adversario assim globo so falta ser apurado william nao sabe fazer conta,Positive
pronto decidido dilma x aecio segundo turno,Positive
segundo turno votarei dilma pq aecio bom ganhado minas onde segundo melhor governador ja la,Positive
n acho dilma tao merda assim fez poucas melhorias sim gatante voces outro presidente melhor,Positive
nao questao querer tudo perfeito pode ficar melhor dilma nao fez praticamente nada novo,Positive
brasil hmin apurado dilma aecio marina vamos pro pau,Positive
caro amigo migrou dilma pra luciana genro ja pode voltar,Positive
